Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3870,5.0,5,,,,,,
,,,,,3876,6.0,6,,,,,,
,,,,,3881,5.0,5,,,,,,
,,,,,3887,6.0,6,,,,,,
,,,,,3898,11.0,11,,,,,,
,,,,,3901,3.0,3,,,,,,
,,,,,3906,5.0,5,,,,,,
,,,,,3912,6.0,6,,,,,,
,,,,,3918,6.0,6,,,,,,
,,,,,3923,5.0,5,,,,,,
,,,,,3934,11.0,11,,,,,,
,,,,,3949,15.0,15,,,,,,
,,,,,3961,12.0,12,,,,,,
,,,,,3970,9.0,9,,,,,,
,,,,,3978,8.0,8,,,,,,
,,,,,3982,4.0,4,,,,,,
,,,,,3985,3.0,3,,,,,,
,,,,,3993,8.0,8,,,,,,
,,,,,3999,6.0,6,,,,,,
,,,,,4010,11.0,11,,,,,,
,,,,,4014,4.0,4,,,,,,
,,,,,4024,10.0,10,,,,,,
,,,,,4033,9.0,9,,,,,,
,,,,,4039,6.0,6,,,,,,
,,,,,4052,13.0,13,,,,,,
,,,,,4065,13.0,13,,,,,,
,,,,,4082,17.0,17,,,,,,
,,,,,4090,8.0,8,,,,,,
,,,,,4095,5.0,5,,,,,,
,,,,,4105,10.0,10,,,,,,
,,,,,4109,4.0,4,,,,,,
,,,,,4113,4.0,4,,,,,,
,,,,,4121,8.0,8,,,,,,
,,,,,4124,3.0,3,,,,,,
,,,,,4128,4.0,4,,,,,,
,,,,,4134,6.0,6,,,,,,
,,,,,4138,4.0,4,,,,,,
,,,,,4146,8.0,8,,,,,,
,,,,,4150,4.0,4,,,,,,
,,,,,4154,4.0,4,,,,,,
,,,,,4165,11.0,11,,,,,,
,,,,,4171,6.0,6,,,,,,
,,,,,4181,10.0,10,,,,,,
,,,,,4196,15.0,15,,,,,,
,,,,,4199,3.0,3,,,,,,
,,,,,4210,11.0,11,,,,,,
,,,,,4218,8.0,8,,,,,,
,,,,,4221,3.0,3,,,,,,
,,,,,4230,9.0,9,,,,,,
